,Location,Birth Rate,Year,State,Region,Stabr
0,United States,62.5,2013,United States,N/A,US
1,Alabama,60.6,2013,Alabama,South,AL
2,Alaska,77.8,2013,Alaska,West,AK
3,Arizona,66.3,2013,Arizona,West,AZ
4,Arkansas,65.9,2013,Arkansas,South,AR
5,California,62.0,2013,California,West,CA
6,Colorado,61.0,2013,Colorado,West,CO
7,Connecticut,52.7,2013,Connecticut,Northeast,CT
8,Delaware,60.3,2013,Delaware,South,DE
9,Florida,59.3,2013,Florida,South,FL
10,Georgia,61.6,2013,Georgia,South,GA
11,Hawaii,71.5,2013,Hawaii,West,HI
12,Idaho,71.8,2013,Idaho,West,ID
13,Illinois,60.3,2013,Illinois,Midwest,IL
14,Indiana,64.3,2013,Indiana,Midwest,IN
15,Iowa,67.1,2013,Iowa,Midwest,IA
16,Kansas,69.5,2013,Kansas,Midwest,KS
17,Kentucky,65.3,2013,Kentucky,South,KY
18,Louisiana,67.3,2013,Louisiana,South,LA
19,Maine,54.4,2013,Maine,Northeast,ME
20,Maryland,60.1,2013,Maryland,South,MD
21,Massachusetts,52.8,2013,Massachusetts,Northeast,MA
22,Michigan,60.0,2013,Michigan,Midwest,MI
23,Minnesota,65.9,2013,Minnesota,Midwest,MN
24,Mississippi,64.2,2013,Mississippi,South,MS
25,Missouri,64.1,2013,Missouri,Midwest,MO
26,Montana,67.2,2013,Montana,West,MT
27,Nebraska,72.2,2013,Nebraska,Midwest,NE
28,Nevada,62.8,2013,Nevada,West,NV
29,New Hampshire,50.8,2013,New Hampshire,Northeast,NH
30,New Jersey,59.6,2013,New Jersey,Northeast,NJ
31,New Mexico,66.1,2013,New Mexico,West,NM
32,New York,58.8,2013,New York,Northeast,NY
33,North Carolina,60.4,2013,North Carolina,South,NC
34,North Dakota,75.3,2013,North Dakota,Midwest,ND
35,Ohio,62.7,2013,Ohio,Midwest,OH
36,Oklahoma,70.6,2013,Oklahoma,South,OK
37,Oregon,58.6,2013,Oregon,West,OR
38,Pennsylvania,58.4,2013,Pennsylvania,Northeast,PA
39,Rhode Island,51.6,2013,Rhode Island,Northeast,RI
40,South Carolina,60.6,2013,South Carolina,South,SC
41,South Dakota,78.1,2013,South Dakota,Midwest,SD
42,Tennessee,62.1,2013,Tennessee,South,TN
43,Texas,69.9,2013,Texas,South,TX
44,Utah,80.9,2013,Utah,West,UT
45,Vermont,51.4,2013,Vermont,Northeast,VT
46,Virginia,60.9,2013,Virginia,South,VA
47,Washington,62.6,2013,Washington,West,WA
48,West Virginia,61.5,2013,West Virginia,South,WV
49,Wisconsin,61.3,2013,Wisconsin,Midwest,WI
50,Wyoming,69.3,2013,Wyoming,West,WY
51,United States,62.9,2014,United States,N/A,US
52,Alabama,61.8,2014,Alabama,South,AL
53,Alaska,77.3,2014,Alaska,West,AK
54,Arizona,66.4,2014,Arizona,West,AZ
55,Arkansas,67.0,2014,Arkansas,South,AR
56,California,62.4,2014,California,West,CA
57,Colorado,60.7,2014,Colorado,West,CO
58,Connecticut,53.0,2014,Connecticut,Northeast,CT
59,Delaware,60.8,2014,Delaware,South,DE
60,Florida,59.7,2014,Florida,South,FL
61,Georgia,62.2,2014,Georgia,South,GA
62,Hawaii,69.3,2014,Hawaii,West,HI
63,Idaho,72.7,2014,Idaho,West,ID
64,Illinois,61.1,2014,Illinois,Midwest,IL
65,Indiana,64.9,2014,Indiana,Midwest,IN
66,Iowa,67.8,2014,Iowa,Midwest,IA
67,Kansas,70.0,2014,Kansas,Midwest,KS
68,Kentucky,65.8,2014,Kentucky,South,KY
69,Louisiana,68.4,2014,Louisiana,South,LA
70,Maine,54.3,2014,Maine,Northeast,ME
71,Maryland,61.5,2014,Maryland,South,MD
72,Massachusetts,52.5,2014,Massachusetts,Northeast,MA
73,Michigan,60.6,2014,Michigan,Midwest,MI
74,Minnesota,66.4,2014,Minnesota,Midwest,MN
75,Mississippi,64.4,2014,Mississippi,South,MS
76,Missouri,64.1,2014,Missouri,Midwest,MO
77,Montana,67.0,2014,Montana,West,MT
78,Nebraska,73.6,2014,Nebraska,Midwest,NE
79,Nevada,63.3,2014,Nevada,West,NV
80,New Hampshire,50.5,2014,New Hampshire,Northeast,NH
81,New Jersey,59.9,2014,New Jersey,Northeast,NJ
82,New Mexico,65.5,2014,New Mexico,West,NM
83,New York,59.0,2014,New York,Northeast,NY
84,North Carolina,61.0,2014,North Carolina,South,NC
85,North Dakota,78.8,2014,North Dakota,Midwest,ND
86,Ohio,63.1,2014,Ohio,Midwest,OH
87,Oklahoma,69.9,2014,Oklahoma,South,OK
88,Oregon,58.7,2014,Oregon,West,OR
89,Pennsylvania,59.1,2014,Pennsylvania,Northeast,PA
90,Rhode Island,51.5,2014,Rhode Island,Northeast,RI
91,South Carolina,61.1,2014,South Carolina,South,SC
92,South Dakota,77.8,2014,South Dakota,Midwest,SD
93,Tennessee,63.0,2014,Tennessee,South,TN
94,Texas,70.7,2014,Texas,South,TX
95,Utah,80.0,2014,Utah,West,UT
96,Vermont,52.9,2014,Vermont,Northeast,VT
97,Virginia,61.3,2014,Virginia,South,VA
98,Washington,63.3,2014,Washington,West,WA
99,West Virginia,60.3,2014,West Virginia,South,WV
100,Wisconsin,61.8,2014,Wisconsin,Midwest,WI
101,Wyoming,69.4,2014,Wyoming,West,WY
102,United States,62.5,2015,United States,N/A,US
103,Alabama,62.2,2015,Alabama,South,AL
104,Alaska,77.0,2015,Alaska,West,AK
105,Arizona,64.7,2015,Arizona,West,AZ
106,Arkansas,67.5,2015,Arkansas,South,AR
107,California,60.8,2015,California,West,CA
108,Colorado,60.2,2015,Colorado,West,CO
109,Connecticut,52.5,2015,Connecticut,Northeast,CT
110,Delaware,61.8,2015,Delaware,South,DE
111,Florida,60.0,2015,Florida,South,FL
112,Georgia,62.0,2015,Georgia,South,GA
113,Hawaii,68.7,2015,Hawaii,West,HI
114,Idaho,71.8,2015,Idaho,West,ID
115,Illinois,61.3,2015,Illinois,Midwest,IL
116,Indiana,64.8,2015,Indiana,Midwest,IN
117,Iowa,67.1,2015,Iowa,Midwest,IA
118,Kansas,69.9,2015,Kansas,Midwest,KS
119,Kentucky,65.7,2015,Kentucky,South,KY
120,Louisiana,68.5,2015,Louisiana,South,LA
121,Maine,54.3,2015,Maine,Northeast,ME
122,Maryland,61.3,2015,Maryland,South,MD
123,Massachusetts,52.0,2015,Massachusetts,Northeast,MA
124,Michigan,60.3,2015,Michigan,Midwest,MI
125,Minnesota,66.3,2015,Minnesota,Midwest,MN
126,Mississippi,64.0,2015,Mississippi,South,MS
127,Missouri,63.8,2015,Missouri,Midwest,MO
128,Montana,67.3,2015,Montana,West,MT
129,Nebraska,72.8,2015,Nebraska,Midwest,NE
130,Nevada,63.3,2015,Nevada,West,NV
131,New Hampshire,51.3,2015,New Hampshire,Northeast,NH
132,New Jersey,60.0,2015,New Jersey,Northeast,NJ
133,New Mexico,65.3,2015,New Mexico,West,NM
134,New York,58.8,2015,New York,Northeast,NY
135,North Carolina,60.7,2015,North Carolina,South,NC
136,North Dakota,76.4,2015,North Dakota,Midwest,ND
137,Ohio,63.1,2015,Ohio,Midwest,OH
138,Oklahoma,69.1,2015,Oklahoma,South,OK
139,Oregon,58.1,2015,Oregon,West,OR
140,Pennsylvania,58.7,2015,Pennsylvania,Northeast,PA
141,Rhode Island,52.5,2015,Rhode Island,Northeast,RI
142,South Carolina,61.1,2015,South Carolina,South,SC
143,South Dakota,78.2,2015,South Dakota,Midwest,SD
144,Tennessee,62.8,2015,Tennessee,South,TN
145,Texas,70.2,2015,Texas,South,TX
146,Utah,78.0,2015,Utah,West,UT
147,Vermont,51.1,2015,Vermont,Northeast,VT
148,Virginia,61.3,2015,Virginia,South,VA
149,Washington,62.8,2015,Washington,West,WA
150,West Virginia,59.4,2015,West Virginia,South,WV
151,Wisconsin,61.8,2015,Wisconsin,Midwest,WI
152,Wyoming,70.2,2015,Wyoming,West,WY
153,United States,62.0,2016,United States,N/A,US
154,Alabama,62.1,2016,Alabama,South,AL
155,Alaska,76.1,2016,Alaska,West,AK
156,Arizona,63.5,2016,Arizona,West,AZ
157,Arkansas,66.4,2016,Arkansas,South,AR
158,California,60.6,2016,California,West,CA
159,Colorado,59.3,2016,Colorado,West,CO
160,Connecticut,53.4,2016,Connecticut,Northeast,CT
161,Delaware,61.2,2016,Delaware,South,DE
162,Florida,59.7,2016,Florida,South,FL
163,Georgia,61.1,2016,Georgia,South,GA
164,Hawaii,67.6,2016,Hawaii,West,HI
165,Idaho,69.8,2016,Idaho,West,ID
166,Illinois,60.6,2016,Illinois,Midwest,IL
167,Indiana,64.3,2016,Indiana,Midwest,IN
168,Iowa,66.9,2016,Iowa,Midwest,IA
169,Kansas,68.1,2016,Kansas,Midwest,KS
170,Kentucky,65.4,2016,Kentucky,South,KY
171,Louisiana,67.2,2016,Louisiana,South,LA
172,Maine,54.9,2016,Maine,Northeast,ME
173,Maryland,61.3,2016,Maryland,South,MD
174,Massachusetts,51.9,2016,Massachusetts,Northeast,MA
175,Michigan,60.5,2016,Michigan,Midwest,MI
176,Minnesota,66.1,2016,Minnesota,Midwest,MN
177,Mississippi,63.7,2016,Mississippi,South,MS
178,Missouri,63.8,2016,Missouri,Midwest,MO
179,Montana,65.3,2016,Montana,West,MT
180,Nebraska,72.2,2016,Nebraska,Midwest,NE
181,Nevada,62.6,2016,Nevada,West,NV
182,New Hampshire,50.9,2016,New Hampshire,Northeast,NH
183,New Jersey,60.1,2016,New Jersey,Northeast,NJ
184,New Mexico,62.7,2016,New Mexico,West,NM
185,New York,58.6,2016,New York,Northeast,NY
186,North Carolina,60.3,2016,North Carolina,South,NC
187,North Dakota,77.3,2016,North Dakota,Midwest,ND
188,Ohio,62.8,2016,Ohio,Midwest,OH
189,Oklahoma,68.4,2016,Oklahoma,South,OK
190,Oregon,57.0,2016,Oregon,West,OR
191,Pennsylvania,58.5,2016,Pennsylvania,Northeast,PA
192,Rhode Island,51.8,2016,Rhode Island,Northeast,RI
193,South Carolina,59.9,2016,South Carolina,South,SC
194,South Dakota,77.7,2016,South Dakota,Midwest,SD
195,Tennessee,62.0,2016,Tennessee,South,TN
196,Texas,68.6,2016,Texas,South,TX
197,Utah,76.2,2016,Utah,West,UT
198,Vermont,50.3,2016,Vermont,Northeast,VT
199,Virginia,61.1,2016,Virginia,South,VA
200,Washington,63.0,2016,Washington,West,WA
201,West Virginia,58.2,2016,West Virginia,South,WV
