,YEAR,STATE,RATE,State,Region,Stabr
0,2021,AL,35.1,Alabama,South,AL
1,2021,AK,24.2,Alaska,West,AK
2,2021,AZ,28.7,Arizona,West,AZ
3,2021,AR,34.3,Arkansas,South,AR
4,2021,CA,30.8,California,West,CA
5,2021,CO,27.3,Colorado,West,CO
6,2021,CT,35.4,Connecticut,Northeast,CT
7,2021,DE,31.9,Delaware,South,DE
8,2021,FL,35.8,Florida,South,FL
9,2021,GA,35.1,Georgia,South,GA
10,2021,HI,27.7,Hawaii,West,HI
11,2021,ID,24.1,Idaho,West,ID
12,2021,IL,31.2,Illinois,Midwest,IL
13,2021,IN,30.4,Indiana,Midwest,IN
14,2021,IA,29.7,Iowa,Midwest,IA
15,2021,KS,29.6,Kansas,Midwest,KS
16,2021,KY,34.7,Kentucky,South,KY
17,2021,LA,37.1,Louisiana,South,LA
18,2021,ME,30.9,Maine,Northeast,ME
19,2021,MD,34.3,Maryland,South,MD
20,2021,MA,31.8,Massachusetts,Northeast,MA
21,2021,MI,33.2,Michigan,Midwest,MI
22,2021,MN,28.9,Minnesota,Midwest,MN
23,2021,MS,38.5,Mississippi,South,MS
24,2021,MO,30.2,Missouri,Midwest,MO
25,2021,MT,27.8,Montana,West,MT
26,2021,NE,28.6,Nebraska,Midwest,NE
27,2021,NV,32.9,Nevada,West,NV
28,2021,NH,32.7,New Hampshire,Northeast,NH
29,2021,NJ,32.5,New Jersey,Northeast,NJ
30,2021,NM,27.3,New Mexico,West,NM
31,2021,NY,34.1,New York,Northeast,NY
32,2021,NC,30.3,North Carolina,South,NC
33,2021,ND,26.3,North Dakota,Midwest,ND
34,2021,OH,31.5,Ohio,Midwest,OH
35,2021,OK,32.5,Oklahoma,South,OK
36,2021,OR,29.1,Oregon,West,OR
37,2021,PA,30.8,Pennsylvania,Northeast,PA
38,2021,RI,33.6,Rhode Island,Northeast,RI
39,2021,SC,33.5,South Carolina,South,SC
40,2021,SD,24.6,South Dakota,Midwest,SD
41,2021,TN,32.4,Tennessee,South,TN
42,2021,TX,34.8,Texas,South,TX
43,2021,UT,23.4,Utah,West,UT
44,2021,VT,27.2,Vermont,Northeast,VT
45,2021,VA,32.5,Virginia,South,VA
46,2021,WA,29.0,Washington,West,WA
47,2021,WV,34.0,West Virginia,South,WV
48,2021,WI,27.3,Wisconsin,Midwest,WI
49,2021,WY,26.7,Wyoming,West,WY
50,2020,AL,35.0,Alabama,South,AL
51,2020,AK,22.9,Alaska,West,AK
52,2020,AZ,28.4,Arizona,West,AZ
53,2020,AR,33.8,Arkansas,South,AR
54,2020,CA,30.5,California,West,CA
55,2020,CO,27.2,Colorado,West,CO
56,2020,CT,34.1,Connecticut,Northeast,CT
57,2020,DE,31.7,Delaware,South,DE
58,2020,FL,35.9,Florida,South,FL
59,2020,GA,33.9,Georgia,South,GA
60,2020,HI,26.3,Hawaii,West,HI
61,2020,ID,23.5,Idaho,West,ID
62,2020,IL,30.8,Illinois,Midwest,IL
63,2020,IN,30.1,Indiana,Midwest,IN
64,2020,IA,30.2,Iowa,Midwest,IA
65,2020,KS,30.1,Kansas,Midwest,KS
66,2020,KY,34.3,Kentucky,South,KY
67,2020,LA,36.8,Louisiana,South,LA
68,2020,ME,29.7,Maine,Northeast,ME
69,2020,MD,33.7,Maryland,South,MD
70,2020,MA,32.4,Massachusetts,Northeast,MA
71,2020,MI,32.5,Michigan,Midwest,MI
72,2020,MN,28.5,Minnesota,Midwest,MN
73,2020,MS,38.2,Mississippi,South,MS
74,2020,MO,29.3,Missouri,Midwest,MO
75,2020,MT,27.6,Montana,West,MT
76,2020,NE,28.8,Nebraska,Midwest,NE
77,2020,NV,32.9,Nevada,West,NV
78,2020,NH,32.1,New Hampshire,Northeast,NH
79,2020,NJ,33.2,New Jersey,Northeast,NJ
80,2020,NM,26.1,New Mexico,West,NM
81,2020,NY,33.6,New York,Northeast,NY
82,2020,NC,29.9,North Carolina,South,NC
83,2020,ND,27.0,North Dakota,Midwest,ND
84,2020,OH,31.3,Ohio,Midwest,OH
85,2020,OK,32.1,Oklahoma,South,OK
86,2020,OR,28.8,Oregon,West,OR
87,2020,PA,30.6,Pennsylvania,Northeast,PA
88,2020,RI,33.4,Rhode Island,Northeast,RI
89,2020,SC,33.5,South Carolina,South,SC
90,2020,SD,24.7,South Dakota,Midwest,SD
91,2020,TN,32.1,Tennessee,South,TN
92,2020,TX,34.7,Texas,South,TX
93,2020,UT,23.1,Utah,West,UT
94,2020,VT,26.9,Vermont,Northeast,VT
95,2020,VA,32.6,Virginia,South,VA
96,2020,WA,28.5,Washington,West,WA
97,2020,WV,34.2,West Virginia,South,WV
98,2020,WI,26.7,Wisconsin,Midwest,WI
99,2020,WY,26.4,Wyoming,West,WY
100,2019,AL,34.6,Alabama,South,AL
101,2019,AK,21.6,Alaska,West,AK
102,2019,AZ,27.8,Arizona,West,AZ
103,2019,AR,34.5,Arkansas,South,AR
104,2019,CA,30.8,California,West,CA
105,2019,CO,26.8,Colorado,West,CO
106,2019,CT,34.6,Connecticut,Northeast,CT
107,2019,DE,31.5,Delaware,South,DE
108,2019,FL,36.5,Florida,South,FL
109,2019,GA,34.3,Georgia,South,GA
110,2019,HI,26.8,Hawaii,West,HI
111,2019,ID,24.0,Idaho,West,ID
112,2019,IL,30.6,Illinois,Midwest,IL
113,2019,IN,29.3,Indiana,Midwest,IN
114,2019,IA,29.6,Iowa,Midwest,IA
115,2019,KS,29.7,Kansas,Midwest,KS
116,2019,KY,33.6,Kentucky,South,KY
117,2019,LA,36.7,Louisiana,South,LA
118,2019,ME,30.2,Maine,Northeast,ME
119,2019,MD,33.0,Maryland,South,MD
120,2019,MA,31.4,Massachusetts,Northeast,MA
121,2019,MI,32.0,Michigan,Midwest,MI
122,2019,MN,27.6,Minnesota,Midwest,MN
123,2019,MS,38.5,Mississippi,South,MS
124,2019,MO,30.1,Missouri,Midwest,MO
125,2019,MT,28.4,Montana,West,MT
126,2019,NE,29.1,Nebraska,Midwest,NE
127,2019,NV,32.8,Nevada,West,NV
128,2019,NH,31.6,New Hampshire,Northeast,NH
129,2019,NJ,33.8,New Jersey,Northeast,NJ
130,2019,NM,26.4,New Mexico,West,NM
131,2019,NY,33.2,New York,Northeast,NY
132,2019,NC,29.1,North Carolina,South,NC
133,2019,ND,26.5,North Dakota,Midwest,ND
134,2019,OH,31.0,Ohio,Midwest,OH
135,2019,OK,32.1,Oklahoma,South,OK
136,2019,OR,28.0,Oregon,West,OR
137,2019,PA,30.2,Pennsylvania,Northeast,PA
138,2019,RI,32.0,Rhode Island,Northeast,RI
139,2019,SC,33.2,South Carolina,South,SC
140,2019,SD,24.5,South Dakota,Midwest,SD
141,2019,TN,31.8,Tennessee,South,TN
142,2019,TX,34.8,Texas,South,TX
143,2019,UT,23.1,Utah,West,UT
144,2019,VT,25.8,Vermont,Northeast,VT
145,2019,VA,31.9,Virginia,South,VA
146,2019,WA,27.8,Washington,West,WA
147,2019,WV,34.6,West Virginia,South,WV
148,2019,WI,26.7,Wisconsin,Midwest,WI
149,2019,WY,26.3,Wyoming,West,WY
150,2018,AL,34.7,Alabama,South,AL
151,2018,AK,22.4,Alaska,West,AK
152,2018,AZ,27.5,Arizona,West,AZ
153,2018,AR,34.8,Arkansas,South,AR
154,2018,CA,30.9,California,West,CA
155,2018,CO,26.1,Colorado,West,CO
156,2018,CT,34.8,Connecticut,Northeast,CT
157,2018,DE,31.3,Delaware,South,DE
158,2018,FL,36.8,Florida,South,FL
159,2018,GA,34.0,Georgia,South,GA
160,2018,HI,26.9,Hawaii,West,HI
161,2018,ID,24.0,Idaho,West,ID
162,2018,IL,31.2,Illinois,Midwest,IL
163,2018,IN,29.8,Indiana,Midwest,IN
164,2018,IA,29.8,Iowa,Midwest,IA
165,2018,KS,29.7,Kansas,Midwest,KS
166,2018,KY,34.3,Kentucky,South,KY
167,2018,LA,37.0,Louisiana,South,LA
168,2018,ME,30.4,Maine,Northeast,ME
169,2018,MD,33.9,Maryland,South,MD
170,2018,MA,31.5,Massachusetts,Northeast,MA
171,2018,MI,32.1,Michigan,Midwest,MI
172,2018,MN,27.0,Minnesota,Midwest,MN
173,2018,MS,38.3,Mississippi,South,MS
174,2018,MO,30.0,Missouri,Midwest,MO
175,2018,MT,28.1,Montana,West,MT
176,2018,NE,29.9,Nebraska,Midwest,NE
177,2018,NV,33.8,Nevada,West,NV
178,2018,NH,31.6,New Hampshire,Northeast,NH
179,2018,NJ,34.9,New Jersey,Northeast,NJ
180,2018,NM,25.3,New Mexico,West,NM
181,2018,NY,33.9,New York,Northeast,NY
182,2018,NC,29.4,North Carolina,South,NC
183,2018,ND,26.5,North Dakota,Midwest,ND
184,2018,OH,30.8,Ohio,Midwest,OH
185,2018,OK,32.8,Oklahoma,South,OK
186,2018,OR,28.0,Oregon,West,OR
187,2018,PA,30.1,Pennsylvania,Northeast,PA
188,2018,RI,32.2,Rhode Island,Northeast,RI
189,2018,SC,33.5,South Carolina,South,SC
190,2018,SD,24.6,South Dakota,Midwest,SD
