,FIPS_Code,Stabr,Area_name,POVALL_2021,PCTPOVALL_2021,State,Region
0,1001,AL,Autauga County,6296.0,10.7,Alabama,South
1,1003,AL,Baldwin County,25526.0,10.8,Alabama,South
2,1005,AL,Barbour County,5089.0,23.0,Alabama,South
3,1007,AL,Bibb County,4204.0,20.6,Alabama,South
4,1009,AL,Blount County,6992.0,12.0,Alabama,South
5,1011,AL,Bullock County,2764.0,32.1,Alabama,South
6,1013,AL,Butler County,4226.0,22.7,Alabama,South
7,1015,AL,Calhoun County,21630.0,19.2,Alabama,South
8,1017,AL,Chambers County,6699.0,19.7,Alabama,South
9,1019,AL,Cherokee County,4513.0,18.2,Alabama,South
10,1021,AL,Chilton County,6973.0,15.5,Alabama,South
11,1023,AL,Choctaw County,2893.0,23.3,Alabama,South
12,1025,AL,Clarke County,4366.0,19.4,Alabama,South
13,1027,AL,Clay County,2560.0,18.4,Alabama,South
14,1029,AL,Cleburne County,2236.0,15.0,Alabama,South
15,1031,AL,Coffee County,8516.0,15.9,Alabama,South
16,1033,AL,Colbert County,9396.0,16.5,Alabama,South
17,1035,AL,Conecuh County,2528.0,22.4,Alabama,South
18,1037,AL,Coosa County,1754.0,17.1,Alabama,South
19,1039,AL,Covington County,7317.0,19.8,Alabama,South
20,1041,AL,Crenshaw County,2267.0,17.5,Alabama,South
21,1043,AL,Cullman County,11898.0,13.5,Alabama,South
22,1045,AL,Dale County,7587.0,15.7,Alabama,South
23,1047,AL,Dallas County,10914.0,29.5,Alabama,South
24,1049,AL,DeKalb County,13783.0,19.4,Alabama,South
25,1051,AL,Elmore County,10138.0,12.0,Alabama,South
26,1053,AL,Escambia County,8147.0,23.8,Alabama,South
27,1055,AL,Etowah County,17605.0,17.4,Alabama,South
28,1057,AL,Fayette County,3123.0,19.6,Alabama,South
29,1059,AL,Franklin County,5995.0,18.9,Alabama,South
30,1061,AL,Geneva County,5566.0,21.1,Alabama,South
31,1063,AL,Greene County,2520.0,33.2,Alabama,South
32,1065,AL,Hale County,3221.0,22.1,Alabama,South
33,1067,AL,Henry County,2694.0,15.6,Alabama,South
34,1069,AL,Houston County,20210.0,19.1,Alabama,South
35,1071,AL,Jackson County,9851.0,18.9,Alabama,South
36,1073,AL,Jefferson County,110131.0,16.9,Alabama,South
37,1075,AL,Lamar County,2300.0,17.0,Alabama,South
38,1077,AL,Lauderdale County,14838.0,16.2,Alabama,South
39,1079,AL,Lawrence County,4566.0,13.9,Alabama,South
40,1081,AL,Lee County,30989.0,18.0,Alabama,South
41,1083,AL,Limestone County,10363.0,9.9,Alabama,South
42,1085,AL,Lowndes County,2786.0,28.3,Alabama,South
43,1087,AL,Macon County,4725.0,27.5,Alabama,South
44,1089,AL,Madison County,39316.0,10.2,Alabama,South
45,1091,AL,Marengo County,4602.0,24.6,Alabama,South
46,1093,AL,Marion County,5209.0,18.3,Alabama,South
47,1095,AL,Marshall County,15145.0,15.6,Alabama,South
48,1097,AL,Mobile County,74061.0,18.2,Alabama,South
49,1099,AL,Monroe County,4349.0,22.3,Alabama,South
50,1101,AL,Montgomery County,47309.0,21.7,Alabama,South
51,1103,AL,Morgan County,16459.0,13.5,Alabama,South
52,1105,AL,Perry County,2591.0,33.7,Alabama,South
53,1107,AL,Pickens County,3591.0,21.1,Alabama,South
54,1109,AL,Pike County,7429.0,23.9,Alabama,South
55,1111,AL,Randolph County,4652.0,21.5,Alabama,South
56,1113,AL,Russell County,12620.0,21.7,Alabama,South
57,1115,AL,St. Clair County,11652.0,12.8,Alabama,South
58,1117,AL,Shelby County,17306.0,7.7,Alabama,South
59,1119,AL,Sumter County,4005.0,35.1,Alabama,South
60,1121,AL,Talladega County,14936.0,19.1,Alabama,South
61,1123,AL,Tallapoosa County,7420.0,18.3,Alabama,South
62,1125,AL,Tuscaloosa County,31735.0,14.7,Alabama,South
63,1127,AL,Walker County,12877.0,20.2,Alabama,South
64,1129,AL,Washington County,3091.0,20.6,Alabama,South
65,1131,AL,Wilcox County,3340.0,32.4,Alabama,South
66,1133,AL,Winston County,4455.0,19.0,Alabama,South
67,2013,AK,Aleutians East Borough,625.0,18.4,Alaska,West
68,2016,AK,Aleutians West Census Area,505.0,10.4,Alaska,West
69,2020,AK,Anchorage Borough,26920.0,9.5,Alaska,West
70,2050,AK,Bethel Census Area,4496.0,24.6,Alaska,West
71,2060,AK,Bristol Bay Borough,93.0,11.3,Alaska,West
72,2063,AK,Chugach Census Area,530.0,7.7,Alaska,West
73,2066,AK,Copper River Census Area,375.0,14.3,Alaska,West
74,2068,AK,Denali Borough,115.0,7.5,Alaska,West
75,2070,AK,Dillingham Census Area,1033.0,21.8,Alaska,West
76,2090,AK,Fairbanks North Star Borough,7247.0,7.9,Alaska,West
77,2100,AK,Haines Borough,223.0,10.8,Alaska,West
78,2105,AK,Hoonah-Angoon Census Area,395.0,17.0,Alaska,West
79,2110,AK,Juneau Borough,2378.0,7.6,Alaska,West
80,2122,AK,Kenai Peninsula Borough,6729.0,11.5,Alaska,West
81,2130,AK,Ketchikan Gateway Borough,1529.0,11.3,Alaska,West
82,2150,AK,Kodiak Island Borough,1072.0,8.5,Alaska,West
83,2158,AK,Kusilvak Census Area,2534.0,30.4,Alaska,West
84,2164,AK,Lake and Peninsula Borough,290.0,20.6,Alaska,West
85,2170,AK,Matanuska-Susitna Borough,11453.0,10.5,Alaska,West
86,2180,AK,Nome Census Area,1920.0,19.8,Alaska,West
87,2185,AK,North Slope Borough,1354.0,12.4,Alaska,West
88,2188,AK,Northwest Arctic Borough,1560.0,20.9,Alaska,West
89,2195,AK,Petersburg Borough,269.0,8.0,Alaska,West
90,2198,AK,Prince of Wales-Hyder Census Area,859.0,15.0,Alaska,West
91,2220,AK,Sitka Borough,717.0,8.6,Alaska,West
92,2230,AK,Skagway Municipality,69.0,6.1,Alaska,West
93,2240,AK,Southeast Fairbanks Census Area,890.0,12.9,Alaska,West
94,2275,AK,Wrangell City and Borough,231.0,11.3,Alaska,West
95,2282,AK,Yakutat Borough,86.0,12.2,Alaska,West
96,2290,AK,Yukon-Koyukuk Census Area,1240.0,23.7,Alaska,West
97,4001,AZ,Apache County,18422.0,28.4,Arizona,West
98,4003,AZ,Cochise County,20618.0,17.1,Arizona,West
99,4005,AZ,Coconino County,22677.0,16.9,Arizona,West
100,4007,AZ,Gila County,8900.0,16.8,Arizona,West
101,4009,AZ,Graham County,7385.0,20.4,Arizona,West
102,4011,AZ,Greenlee County,886.0,9.5,Arizona,West
103,4012,AZ,La Paz County,3303.0,20.3,Arizona,West
104,4013,AZ,Maricopa County,502224.0,11.3,Arizona,West
105,4015,AZ,Mohave County,38383.0,18.0,Arizona,West
106,4017,AZ,Navajo County,26324.0,24.8,Arizona,West
107,4019,AZ,Pima County,151169.0,14.7,Arizona,West
108,4021,AZ,Pinal County,45630.0,10.7,Arizona,West
109,4023,AZ,Santa Cruz County,9723.0,20.4,Arizona,West
110,4025,AZ,Yavapai County,29766.0,12.5,Arizona,West
111,4027,AZ,Yuma County,34270.0,17.3,Arizona,West
112,5001,AR,Arkansas County,2923.0,17.7,Arkansas,South
113,5003,AR,Ashley County,3950.0,21.3,Arkansas,South
114,5005,AR,Baxter County,5565.0,13.4,Arkansas,South
115,5007,AR,Benton County,22890.0,7.9,Arkansas,South
116,5009,AR,Boone County,4860.0,13.0,Arkansas,South
117,5011,AR,Bradley County,2011.0,19.6,Arkansas,South
118,5013,AR,Calhoun County,672.0,14.6,Arkansas,South
119,5015,AR,Carroll County,4717.0,16.8,Arkansas,South
120,5017,AR,Chicot County,2594.0,27.9,Arkansas,South
121,5019,AR,Clark County,3699.0,20.0,Arkansas,South
122,5021,AR,Clay County,2543.0,17.9,Arkansas,South
123,5023,AR,Cleburne County,4109.0,16.7,Arkansas,South
124,5025,AR,Cleveland County,1054.0,14.1,Arkansas,South
125,5027,AR,Columbia County,4777.0,23.2,Arkansas,South
126,5029,AR,Conway County,3494.0,16.9,Arkansas,South
127,5031,AR,Craighead County,19674.0,18.2,Arkansas,South
128,5033,AR,Crawford County,8790.0,14.7,Arkansas,South
129,5035,AR,Crittenden County,10706.0,23.0,Arkansas,South
130,5037,AR,Cross County,2738.0,16.7,Arkansas,South
131,5039,AR,Dallas County,1213.0,20.2,Arkansas,South
132,5041,AR,Desha County,3032.0,27.6,Arkansas,South
133,5043,AR,Drew County,2715.0,16.5,Arkansas,South
134,5045,AR,Faulkner County,16486.0,13.6,Arkansas,South
135,5047,AR,Franklin County,2908.0,17.2,Arkansas,South
136,5049,AR,Fulton County,2157.0,18.0,Arkansas,South
137,5051,AR,Garland County,14319.0,14.5,Arkansas,South
138,5053,AR,Grant County,2017.0,11.2,Arkansas,South
139,5055,AR,Greene County,5898.0,12.9,Arkansas,South
140,5057,AR,Hempstead County,4125.0,21.2,Arkansas,South
141,5059,AR,Hot Spring County,5521.0,17.8,Arkansas,South
142,5061,AR,Howard County,2245.0,17.9,Arkansas,South
143,5063,AR,Independence County,6924.0,18.9,Arkansas,South
144,5065,AR,Izard County,2384.0,18.4,Arkansas,South
145,5067,AR,Jackson County,3316.0,22.5,Arkansas,South
146,5069,AR,Jefferson County,12258.0,20.3,Arkansas,South
147,5071,AR,Johnson County,4570.0,18.1,Arkansas,South
148,5073,AR,Lafayette County,1448.0,23.7,Arkansas,South
149,5075,AR,Lawrence County,3193.0,20.4,Arkansas,South
150,5077,AR,Lee County,2448.0,34.9,Arkansas,South
151,5079,AR,Lincoln County,2160.0,22.6,Arkansas,South
152,5081,AR,Little River County,1854.0,15.7,Arkansas,South
153,5083,AR,Logan County,3204.0,15.4,Arkansas,South
154,5085,AR,Lonoke County,8161.0,11.0,Arkansas,South
155,5087,AR,Madison County,2587.0,15.4,Arkansas,South
156,5089,AR,Marion County,2986.0,17.8,Arkansas,South
157,5091,AR,Miller County,8483.0,20.4,Arkansas,South
158,5093,AR,Mississippi County,9276.0,23.9,Arkansas,South
159,5095,AR,Monroe County,1667.0,25.3,Arkansas,South
160,5097,AR,Montgomery County,1692.0,19.9,Arkansas,South
161,5099,AR,Nevada County,1705.0,21.2,Arkansas,South
162,5101,AR,Newton County,1366.0,19.1,Arkansas,South
163,5103,AR,Ouachita County,4437.0,20.2,Arkansas,South
164,5105,AR,Perry County,1500.0,15.2,Arkansas,South
165,5107,AR,Phillips County,5623.0,35.7,Arkansas,South
166,5109,AR,Pike County,1844.0,18.6,Arkansas,South
167,5111,AR,Poinsett County,4948.0,22.2,Arkansas,South
168,5113,AR,Polk County,3697.0,19.3,Arkansas,South
169,5115,AR,Pope County,10897.0,18.0,Arkansas,South
170,5117,AR,Prairie County,1257.0,15.7,Arkansas,South
171,5119,AR,Pulaski County,68564.0,17.6,Arkansas,South
172,5121,AR,Randolph County,3141.0,17.0,Arkansas,South
173,5123,AR,St. Francis County,6108.0,32.2,Arkansas,South
174,5125,AR,Saline County,10572.0,8.5,Arkansas,South
175,5127,AR,Scott County,1681.0,17.3,Arkansas,South
176,5129,AR,Searcy County,1633.0,20.9,Arkansas,South
177,5131,AR,Sebastian County,24574.0,19.5,Arkansas,South
178,5133,AR,Sevier County,2854.0,18.3,Arkansas,South
179,5135,AR,Sharp County,3181.0,18.3,Arkansas,South
180,5137,AR,Stone County,2567.0,20.8,Arkansas,South
181,5139,AR,Union County,6726.0,17.8,Arkansas,South
182,5141,AR,Van Buren County,2659.0,17.1,Arkansas,South
183,5143,AR,Washington County,30035.0,12.4,Arkansas,South
184,5145,AR,White County,12106.0,16.3,Arkansas,South
185,5147,AR,Woodruff County,1514.0,25.2,Arkansas,South
186,5149,AR,Yell County,2996.0,15.1,Arkansas,South
187,6001,CA,Alameda County,152654.0,9.4,California,West
188,6003,CA,Alpine County,194.0,15.8,California,West
189,6005,CA,Amador County,4104.0,11.1,California,West
190,6007,CA,Butte County,33874.0,16.6,California,West
191,6009,CA,Calaveras County,6198.0,13.5,California,West
192,6011,CA,Colusa County,2466.0,11.4,California,West
193,6013,CA,Contra Costa County,100948.0,8.8,California,West
194,6015,CA,Del Norte County,5368.0,21.4,California,West
195,6017,CA,El Dorado County,16839.0,8.8,California,West
196,6019,CA,Fresno County,193449.0,19.4,California,West
197,6021,CA,Glenn County,4397.0,15.5,California,West
198,6023,CA,Humboldt County,25781.0,19.4,California,West
199,6025,CA,Imperial County,29738.0,17.3,California,West
200,6027,CA,Inyo County,2382.0,12.8,California,West
201,6029,CA,Kern County,164169.0,18.5,California,West
202,6031,CA,Kings County,24295.0,17.7,California,West
203,6033,CA,Lake County,11196.0,16.5,California,West
204,6035,CA,Lassen County,4805.0,18.8,California,West
205,6037,CA,Los Angeles County,1365808.0,14.1,California,West
206,6039,CA,Madera County,31044.0,20.4,California,West
207,6041,CA,Marin County,19734.0,7.8,California,West
208,6043,CA,Mariposa County,2387.0,14.1,California,West
209,6045,CA,Mendocino County,14539.0,16.1,California,West
210,6047,CA,Merced County,61359.0,21.9,California,West
211,6049,CA,Modoc County,1688.0,19.9,California,West
212,6051,CA,Mono County,1278.0,9.8,California,West
213,6053,CA,Monterey County,50725.0,12.1,California,West
214,6055,CA,Napa County,11814.0,9.0,California,West
