,Location,Abortion Rate,Year,State,Region,Stabr
0,Mississippi,4.0,2009,Mississippi,South,MS
1,Idaho,5.0,2009,Idaho,West,ID
2,Kentucky,5.0,2009,Kentucky,South,KY
3,South Dakota,5.0,2009,South Dakota,Midwest,SD
4,West Virginia,5.0,2009,West Virginia,South,WV
5,Missouri,6.0,2009,Missouri,Midwest,MO
6,Utah,6.0,2009,Utah,West,UT
7,Nebraska,7.0,2009,Nebraska,Midwest,NE
8,Arizona,8.0,2009,Arizona,West,AZ
9,Arkansas,8.0,2009,Arkansas,South,AR
10,Indiana,8.0,2009,Indiana,Midwest,IN
11,South Carolina,8.0,2009,South Carolina,South,SC
12,Wisconsin,8.0,2009,Wisconsin,Midwest,WI
13,Louisiana,9.0,2009,Louisiana,South,LA
14,Oklahoma,9.0,2009,Oklahoma,South,OK
15,Iowa,10.0,2009,Iowa,Midwest,IA
16,Maine,10.0,2009,Maine,Northeast,ME
17,North Dakota,10.0,2009,North Dakota,Midwest,ND
18,Colorado,11.0,2009,Colorado,West,CO
19,Michigan,11.0,2009,Michigan,Midwest,MI
20,Vermont,11.0,2009,Vermont,Northeast,VT
21,Alabama,12.0,2009,Alabama,South,AL
22,Minnesota,12.0,2009,Minnesota,Midwest,MN
23,Montana,12.0,2009,Montana,West,MT
24,Alaska,13.0,2009,Alaska,West,AK
25,Hawaii,13.0,2009,Hawaii,West,HI
26,New Mexico,13.0,2009,New Mexico,West,NM
27,Ohio,13.0,2009,Ohio,Midwest,OH
28,Oregon,14.0,2009,Oregon,West,OR
29,Tennessee,14.0,2009,Tennessee,South,TN
30,Pennsylvania,15.0,2009,Pennsylvania,Northeast,PA
31,Texas,15.0,2009,Texas,South,TX
32,Georgia,16.0,2009,Georgia,South,GA
33,North Carolina,16.0,2009,North Carolina,South,NC
34,Illinois,17.0,2009,Illinois,Midwest,IL
35,Kansas,17.0,2009,Kansas,Midwest,KS
36,Massachusetts,17.0,2009,Massachusetts,Northeast,MA
37,New Jersey,17.0,2009,New Jersey,Northeast,NJ
38,Virginia,17.0,2009,Virginia,South,VA
39,Washington,17.0,2009,Washington,West,WA
40,Nevada,18.0,2009,Nevada,West,NV
41,Connecticut,20.0,2009,Connecticut,Northeast,CT
42,Rhode Island,20.0,2009,Rhode Island,Northeast,RI
43,Florida,24.0,2009,Florida,South,FL
44,New York,30.0,2009,New York,Northeast,NY
45,New York,28.6,2010,New York,Northeast,NY
46,Delaware,26.0,2010,Delaware,South,DE
47,Florida,22.4,2010,Florida,South,FL
48,Rhode Island,19.5,2010,Rhode Island,Northeast,RI
49,Connecticut,19.4,2010,Connecticut,Northeast,CT
50,Georgia,16.7,2010,Georgia,South,GA
51,New Jersey,16.2,2010,New Jersey,Northeast,NJ
52,Illinois,15.9,2010,Illinois,Midwest,IL
53,North Carolina,15.9,2010,North Carolina,South,NC
54,Virginia,15.7,2010,Virginia,South,VA
55,Washington,15.6,2010,Washington,West,WA
56,Massachusetts,15.4,2010,Massachusetts,Northeast,MA
57,Pennsylvania,15.1,2010,Pennsylvania,Northeast,PA
58,Kansas,15.0,2010,Kansas,Midwest,KS
59,Texas,14.5,2010,Texas,South,TX
60,Nevada,14.2,2010,Nevada,West,NV
61,Oregon,13.2,2010,Oregon,West,OR
62,Tennessee,12.8,2010,Tennessee,South,TN
63,Ohio,12.6,2010,Ohio,Midwest,OH
64,Michigan,12.1,2010,Michigan,Midwest,MI
65,Alaska,12.0,2010,Alaska,West,AK
66,Montana,12.0,2010,Montana,West,MT
67,New Mexico,12.0,2010,New Mexico,West,NM
68,Hawaii,11.7,2010,Hawaii,West,HI
69,Vermont,11.3,2010,Vermont,Northeast,VT
70,Minnesota,11.0,2010,Minnesota,Midwest,MN
71,Colorado,10.9,2010,Colorado,West,CO
72,Alabama,10.7,2010,Alabama,South,AL
73,North Dakota,10.0,2010,North Dakota,Midwest,ND
74,Louisiana,9.6,2010,Louisiana,South,LA
75,Maine,9.6,2010,Maine,Northeast,ME
76,Iowa,9.4,2010,Iowa,Midwest,IA
77,Arizona,9.1,2010,Arizona,West,AZ
78,Oklahoma,8.3,2010,Oklahoma,South,OK
79,Arkansas,8.0,2010,Arkansas,South,AR
80,Indiana,7.8,2010,Indiana,Midwest,IN
81,Wisconsin,7.1,2010,Wisconsin,Midwest,WI
82,South Carolina,7.0,2010,South Carolina,South,SC
83,Nebraska,6.9,2010,Nebraska,Midwest,NE
84,Utah,6.3,2010,Utah,West,UT
85,West Virginia,5.8,2010,West Virginia,South,WV
86,Missouri,5.2,2010,Missouri,Midwest,MO
87,Idaho,4.9,2010,Idaho,West,ID
88,South Dakota,4.8,2010,South Dakota,Midwest,SD
89,Kentucky,4.6,2010,Kentucky,South,KY
90,Mississippi,3.8,2010,Mississippi,South,MS
91,New York,27.6,2011,New York,Northeast,NY
92,Florida,21.6,2011,Florida,South,FL
93,Delaware,21.2,2011,Delaware,South,DE
94,Rhode Island,19.6,2011,Rhode Island,Northeast,RI
95,Connecticut,18.4,2011,Connecticut,Northeast,CT
96,Georgia,15.8,2011,Georgia,South,GA
97,Illinois,15.8,2011,Illinois,Midwest,IL
98,Massachusetts,15.4,2011,Massachusetts,Northeast,MA
99,New Jersey,15.4,2011,New Jersey,Northeast,NJ
100,Virginia,15.3,2011,Virginia,South,VA
101,Pennsylvania,14.9,2011,Pennsylvania,Northeast,PA
102,Washington,14.8,2011,Washington,West,WA
103,Kansas,14.0,2011,Kansas,Midwest,KS
104,North Carolina,13.4,2011,North Carolina,South,NC
105,Texas,13.4,2011,Texas,South,TX
106,Nevada,13.1,2011,Nevada,West,NV
