,Denominator,Numerator,Weighted % ,"Lower 95%
Confidence Interval","Upper 95%
Confidence Interval",Year,Health Care Services,Sites,State,Region,Stabr
0,870,484,55.1,51.8,58.3,2017,Health care visit in the 12 months before pregnancy ,Alabama,Alabama,South,AL
1,1032,670,67.2,63.6,70.5,2017,Health care visit in the 12 months before pregnancy ,Alaska,Alaska,West,AK
2,1120,798,70.2,67.2,73.1,2017,Health care visit in the 12 months before pregnancy ,Colorado,Colorado,West,CO
3,1445,950,72.9,70.2,75.5,2017,Health care visit in the 12 months before pregnancy ,Connecticut,Connecticut,Northeast,CT
4,879,581,66.5,63.2,69.7,2017,Health care visit in the 12 months before pregnancy ,Delaware,Delaware,South,DE
5,945,633,63.3,58.8,67.6,2017,Health care visit in the 12 months before pregnancy ,Georgia,Georgia,South,GA
6,1207,872,70.3,67.3,73.1,2017,Health care visit in the 12 months before pregnancy ,Illinois,Illinois,Midwest,IL
7,1017,595,68.6,64.2,72.6,2017,Health care visit in the 12 months before pregnancy ,Iowa,Iowa,Midwest,IA
8,993,685,67.0,63.0,70.7,2017,Health care visit in the 12 months before pregnancy ,Kansas,Kansas,Midwest,KS
9,694,449,66.3,61.7,70.7,2017,Health care visit in the 12 months before pregnancy ,Kentucky,Kentucky,South,KY
10,887,548,63.3,59.8,66.6,2017,Health care visit in the 12 months before pregnancy ,Louisiana,Louisiana,South,LA
11,865,649,74.1,70.5,77.4,2017,Health care visit in the 12 months before pregnancy ,Maine,Maine,Northeast,ME
12,1032,697,65.1,61.7,68.4,2017,Health care visit in the 12 months before pregnancy ,Maryland,Maryland,South,MD
13,1414,1001,77.0,74.3,79.5,2017,Health care visit in the 12 months before pregnancy ,Massachusetts,Massachusetts,Northeast,MA
14,1864,1224,70.9,68.2,73.5,2017,Health care visit in the 12 months before pregnancy ,Michigan,Michigan,Midwest,MI
15,1093,725,66.5,63.1,69.7,2017,Health care visit in the 12 months before pregnancy ,Missouri,Missouri,Midwest,MO
16,934,671,72.1,69.2,74.9,2017,Health care visit in the 12 months before pregnancy ,Montana,Montana,West,MT
17,576,459,78.4,73.7,82.5,2017,Health care visit in the 12 months before pregnancy ,New Hampshire,New Hampshire,Northeast,NH
18,1239,790,64.6,61.8,67.3,2017,Health care visit in the 12 months before pregnancy ,New Jersey,New Jersey,Northeast,NJ
19,1176,660,54.5,51.6,57.3,2017,Health care visit in the 12 months before pregnancy ,New Mexico,New Mexico,West,NM
20,983,651,65.8,62.1,69.2,2017,Health care visit in the 12 months before pregnancy ,North Carolina,North Carolina,South,NC
21,583,362,67.8,63.1,72.1,2017,Health care visit in the 12 months before pregnancy ,North Dakota,North Dakota,Midwest,ND
22,1611,884,58.6,55.1,62.1,2017,Health care visit in the 12 months before pregnancy ,Oklahoma,Oklahoma,South,OK
