,Denominator,Numerator,Weighted % ,"Lower 95%
Confidence Interval","Upper 95%
Confidence Interval",Year,Pregnancy Intention,Sites,State,Region,Stabr
0,873,200,24.3,21.4,27.5,2017,Mistimed,Alabama,Alabama,South,AL
1,1030,170,16.6,14.0,19.6,2017,Mistimed,Alaska,Alaska,West,AK
2,1111,214,19.4,16.9,22.0,2017,Mistimed,Colorado,Colorado,West,CO
3,1442,264,15.9,13.7,18.3,2017,Mistimed,Connecticut,Connecticut,Northeast,CT
4,883,173,19.2,16.6,22.1,2017,Mistimed,Delaware,Delaware,South,DE
5,941,174,20.2,16.8,24.2,2017,Mistimed,Georgia,Georgia,South,GA
6,1216,226,18.7,16.3,21.3,2017,Mistimed,Illinois,Illinois,Midwest,IL
7,1016,205,17.2,14.0,21.0,2017,Mistimed,Iowa,Iowa,Midwest,IA
8,976,193,21.6,18.4,25.3,2017,Mistimed,Kansas,Kansas,Midwest,KS
9,683,175,20.3,16.8,24.3,2017,Mistimed,Kentucky,Kentucky,South,KY
10,887,239,26.1,23.1,29.2,2017,Mistimed,Louisiana,Louisiana,South,LA
11,860,125,15.2,12.6,18.2,2017,Mistimed,Maine,Maine,Northeast,ME
12,1042,196,20.8,18.1,23.9,2017,Mistimed,Maryland,Maryland,South,MD
13,1412,231,14.9,12.7,17.4,2017,Mistimed,Massachusetts,Massachusetts,Northeast,MA
14,1862,405,18.9,16.7,21.3,2017,Mistimed,Michigan,Michigan,Midwest,MI
15,1085,214,21.4,18.6,24.4,2017,Mistimed,Missouri,Missouri,Midwest,MO
16,931,155,17.6,15.2,20.3,2017,Mistimed,Montana,Montana,West,MT
17,564,74,14.6,11.2,18.9,2017,Mistimed,New Hampshire,New Hampshire,Northeast,NH
18,1216,211,16.8,14.7,19.1,2017,Mistimed,New Jersey,New Jersey,Northeast,NJ
19,1160,219,19.0,16.8,21.4,2017,Mistimed,New Mexico,New Mexico,West,NM
20,988,213,23.4,20.3,26.7,2017,Mistimed,North Carolina,North Carolina,South,NC
21,581,112,18.2,14.8,22.3,2017,Mistimed,North Dakota,North Dakota,Midwest,ND
22,1615,414,23.3,20.5,26.5,2017,Mistimed,Oklahoma,Oklahoma,South,OK
23,1211,238,21.8,19.1,24.8,2017,Mistimed,Pennsylvania,Pennsylvania,Northeast,PA
24,1087,158,16.5,14.1,19.3,2017,Mistimed,Rhode Island,Rhode Island,Northeast,RI
25,1092,224,18.0,15.6,20.7,2017,Mistimed,South Dakota,South Dakota,Midwest,SD
26,1415,266,17.3,14.9,19.9,2017,Mistimed,Utah,Utah,West,UT
27,831,110,14.8,12.4,17.7,2017,Mistimed,Vermont,Vermont,Northeast,VT
28,1057,172,17.3,13.8,21.5,2017,Mistimed,Virginia,Virginia,South,VA
29,1217,224,17.2,14.7,20.0,2017,Mistimed,Washington,Washington,West,WA
30,685,119,17.0,13.9,20.5,2017,Mistimed,West Virginia,West Virginia,South,WV
31,1327,311,16.6,14.0,19.7,2017,Mistimed,Wisconsin,Wisconsin,Midwest,WI
32,493,90,19.1,15.2,23.6,2017,Mistimed,Wyoming,Wyoming,West,WY
33,873,72,8.6,6.8,10.8,2017,Unwanted pregnancy ,Alabama,Alabama,South,AL
34,1030,56,5.2,3.7,7.2,2017,Unwanted pregnancy ,Alaska,Alaska,West,AK
35,1111,76,6.3,5.0,7.9,2017,Unwanted pregnancy ,Colorado,Colorado,West,CO
36,1442,76,4.2,3.1,5.6,2017,Unwanted pregnancy ,Connecticut,Connecticut,Northeast,CT
37,883,69,7.4,5.8,9.4,2017,Unwanted pregnancy ,Delaware,Delaware,South,DE
38,941,88,8.4,6.2,11.3,2017,Unwanted pregnancy ,Georgia,Georgia,South,GA
39,1216,100,8.4,6.8,10.4,2017,Unwanted pregnancy ,Illinois,Illinois,Midwest,IL
40,1016,53,3.8,2.4,5.8,2017,Unwanted pregnancy ,Iowa,Iowa,Midwest,IA
41,976,53,5.1,3.6,7.1,2017,Unwanted pregnancy ,Kansas,Kansas,Midwest,KS
42,683,65,5.9,4.2,8.4,2017,Unwanted pregnancy ,Kentucky,Kentucky,South,KY
43,887,104,10.3,8.4,12.5,2017,Unwanted pregnancy ,Louisiana,Louisiana,South,LA
44,860,47,5.2,3.7,7.2,2017,Unwanted pregnancy ,Maine,Maine,Northeast,ME
45,1042,61,6.0,4.5,8.0,2017,Unwanted pregnancy ,Maryland,Maryland,South,MD
46,1412,72,4.8,3.5,6.4,2017,Unwanted pregnancy ,Massachusetts,Massachusetts,Northeast,MA
47,1862,127,5.3,4.2,6.7,2017,Unwanted pregnancy ,Michigan,Michigan,Midwest,MI
48,1085,82,6.9,5.3,8.9,2017,Unwanted pregnancy ,Missouri,Missouri,Midwest,MO
49,931,56,5.5,4.2,7.2,2017,Unwanted pregnancy ,Montana,Montana,West,MT
50,564,18,3.6,2.0,6.5,2017,Unwanted pregnancy ,New Hampshire,New Hampshire,Northeast,NH
51,1216,67,4.8,3.7,6.2,2017,Unwanted pregnancy ,New Jersey,New Jersey,Northeast,NJ
52,1160,75,6.6,5.3,8.3,2017,Unwanted pregnancy ,New Mexico,New Mexico,West,NM
53,988,66,7.1,5.3,9.3,2017,Unwanted pregnancy ,North Carolina,North Carolina,South,NC
54,581,46,6.9,4.8,9.8,2017,Unwanted pregnancy ,North Dakota,North Dakota,Midwest,ND
55,1615,136,8.1,6.3,10.4,2017,Unwanted pregnancy ,Oklahoma,Oklahoma,South,OK
56,1211,63,4.6,3.4,6.2,2017,Unwanted pregnancy ,Pennsylvania,Pennsylvania,Northeast,PA
57,1087,59,6.3,4.8,8.3,2017,Unwanted pregnancy ,Rhode Island,Rhode Island,Northeast,RI
58,1092,93,6.8,5.4,8.6,2017,Unwanted pregnancy ,South Dakota,South Dakota,Midwest,SD
59,1415,86,4.9,3.8,6.4,2017,Unwanted pregnancy ,Utah,Utah,West,UT
60,831,35,4.5,3.2,6.2,2017,Unwanted pregnancy ,Vermont,Vermont,Northeast,VT
61,1057,50,5.9,4.0,8.6,2017,Unwanted pregnancy ,Virginia,Virginia,South,VA
62,1217,54,4.2,3.0,5.9,2017,Unwanted pregnancy ,Washington,Washington,West,WA
63,685,65,8.7,6.4,11.6,2017,Unwanted pregnancy ,West Virginia,West Virginia,South,WV
64,1327,115,6.7,5.0,9.0,2017,Unwanted pregnancy ,Wisconsin,Wisconsin,Midwest,WI
65,493,33,7.1,4.9,10.1,2017,Unwanted pregnancy ,Wyoming,Wyoming,West,WY
66,873,163,17.7,15.2,20.6,2017,Unsure whether wanted pregnancy,Alabama,Alabama,South,AL
67,1030,220,19.7,16.9,22.7,2017,Unsure whether wanted pregnancy,Alaska,Alaska,West,AK
68,1111,148,14.5,12.4,17.0,2017,Unsure whether wanted pregnancy,Colorado,Colorado,West,CO
69,1442,222,14.4,12.2,16.8,2017,Unsure whether wanted pregnancy,Connecticut,Connecticut,Northeast,CT
70,883,147,15.8,13.5,18.5,2017,Unsure whether wanted pregnancy,Delaware,Delaware,South,DE
71,941,182,14.7,11.7,18.3,2017,Unsure whether wanted pregnancy,Georgia,Georgia,South,GA
72,1216,187,15.7,13.6,18.2,2017,Unsure whether wanted pregnancy,Illinois,Illinois,Midwest,IL
73,1016,164,13.5,10.6,16.9,2017,Unsure whether wanted pregnancy,Iowa,Iowa,Midwest,IA
74,976,128,13.1,10.5,16.2,2017,Unsure whether wanted pregnancy,Kansas,Kansas,Midwest,KS
75,683,128,17.6,14.1,21.6,2017,Unsure whether wanted pregnancy,Kentucky,Kentucky,South,KY
76,887,172,18.8,16.2,21.7,2017,Unsure whether wanted pregnancy,Louisiana,Louisiana,South,LA
77,860,123,14.4,11.8,17.4,2017,Unsure whether wanted pregnancy,Maine,Maine,Northeast,ME
78,1042,144,14.7,12.4,17.4,2017,Unsure whether wanted pregnancy,Maryland,Maryland,South,MD
79,1412,199,14.2,11.9,16.7,2017,Unsure whether wanted pregnancy,Massachusetts,Massachusetts,Northeast,MA
80,1862,438,19.9,17.7,22.4,2017,Unsure whether wanted pregnancy,Michigan,Michigan,Midwest,MI
81,1085,194,18.2,15.6,21.1,2017,Unsure whether wanted pregnancy,Missouri,Missouri,Midwest,MO
82,931,182,18.5,16.2,21.0,2017,Unsure whether wanted pregnancy,Montana,Montana,West,MT
83,564,55,8.6,6.0,12.0,2017,Unsure whether wanted pregnancy,New Hampshire,New Hampshire,Northeast,NH
84,1216,198,14.7,12.7,16.9,2017,Unsure whether wanted pregnancy,New Jersey,New Jersey,Northeast,NJ
85,1160,222,19.8,17.6,22.3,2017,Unsure whether wanted pregnancy,New Mexico,New Mexico,West,NM
86,988,133,13.4,11.0,16.1,2017,Unsure whether wanted pregnancy,North Carolina,North Carolina,South,NC
87,581,125,18.6,15.1,22.7,2017,Unsure whether wanted pregnancy,North Dakota,North Dakota,Midwest,ND
88,1615,306,19.1,16.4,22.2,2017,Unsure whether wanted pregnancy,Oklahoma,Oklahoma,South,OK
89,1211,209,16.2,13.8,18.9,2017,Unsure whether wanted pregnancy,Pennsylvania,Pennsylvania,Northeast,PA
90,1087,146,13.2,11.0,15.7,2017,Unsure whether wanted pregnancy,Rhode Island,Rhode Island,Northeast,RI
91,1092,229,17.7,15.4,20.4,2017,Unsure whether wanted pregnancy,South Dakota,South Dakota,Midwest,SD
92,1415,204,12.5,10.5,14.8,2017,Unsure whether wanted pregnancy,Utah,Utah,West,UT
93,831,110,14.0,11.7,16.7,2017,Unsure whether wanted pregnancy,Vermont,Vermont,Northeast,VT
94,1057,147,12.7,9.7,16.3,2017,Unsure whether wanted pregnancy,Virginia,Virginia,South,VA
95,1217,188,14.1,11.8,16.8,2017,Unsure whether wanted pregnancy,Washington,Washington,West,WA
96,685,136,19.4,16.2,23.1,2017,Unsure whether wanted pregnancy,West Virginia,West Virginia,South,WV
97,1327,264,14.6,12.0,17.5,2017,Unsure whether wanted pregnancy,Wisconsin,Wisconsin,Midwest,WI
98,493,80,13.8,10.6,17.8,2017,Unsure whether wanted pregnancy,Wyoming,Wyoming,West,WY
99,873,438,49.4,46.0,52.7,2017,Intended pregnancy ,Alabama,Alabama,South,AL
100,1030,584,58.5,54.8,62.2,2017,Intended pregnancy ,Alaska,Alaska,West,AK
101,1111,673,59.8,56.6,62.9,2017,Intended pregnancy ,Colorado,Colorado,West,CO
102,1442,880,65.6,62.4,68.6,2017,Intended pregnancy ,Connecticut,Connecticut,Northeast,CT
103,883,494,57.6,54.2,61.0,2017,Intended pregnancy ,Delaware,Delaware,South,DE
104,941,497,56.7,52.1,61.1,2017,Intended pregnancy ,Georgia,Georgia,South,GA
105,1216,703,57.2,54.1,60.3,2017,Intended pregnancy ,Illinois,Illinois,Midwest,IL
